n_amenageur,n_operateur,n_enseigne,id_station,n_station,ad_station,code_insee,xlongitude,ylatitude,nbre_pdc,id_pdc,puiss_max,type_prise,acces_recharge,accessibilite,observations,date_maj,source,geo_point_borne,code_insee_commune,region,departement
,,MOBIVE,FR-S64-E64024-006,Parking Quintaou,"1 allée de Quintaou, Anglet",64024,-1.5127680638813583,43.48396450961844,1,FR-S64-E64024-006-1,18.0,Type 2 et prise domestique,,,,2019-05-07,https://www.data.gouv.fr/fr/datasets/localisation-des-infrastructures-de-recharge-pour-vehicules-electriques-irve-sur-la-commune-danglet/#resource-198eaabe-5f9c-4f91-998a-b3c3cb615e52,"43.48396450961844,-1.5127680638813583",64024,,Pyrénées-Atlantiques
,,MOBIVE,FR-S64-E64024-003,Parking des Dauphins,"Place des Docteurs Gentilhe, Anglet",64024,-1.5124430186266826,43.49989725773917,1,FR-S64-E64024-003-2,18.0,Type 2 et prise domestique,,,,2019-05-07,https://www.data.gouv.fr/fr/datasets/localisation-des-infrastructures-de-recharge-pour-vehicules-electriques-irve-sur-la-commune-danglet/#resource-198eaabe-5f9c-4f91-998a-b3c3cb615e52,"43.49989725773917,-1.5124430186266826",64024,,Pyrénées-Atlantiques
,,MOBIVE,FR-S64-E64024-001,Parking Izadia,"25 allée du Val Fleuri, Anglet",64024,-1.5155546844999312,43.48207100351876,1,FR-S64-E64024-001-1,18.0,Type 2 et prise domestique,,,,2019-05-07,https://www.data.gouv.fr/fr/datasets/localisation-des-infrastructures-de-recharge-pour-vehicules-electriques-irve-sur-la-commune-danglet/#resource-198eaabe-5f9c-4f91-998a-b3c3cb615e52,"43.48207100351876,-1.5155546844999312",64024,,Pyrénées-Atlantiques
ABVV Volvo St Ouen l'Aumône,DRIVECO,ABVV Volvo St Ouen l'Aumône,FR*SSD*PABVVVOLVO95310*1,ABVV Volvo St Ouen l'Aumône,135 Rue de Paris 95310 Saint-Ouen-l'Aumône,95572,2.12245,49.035994,12,FR*SSD*E21053737*P1,7.36,T2,Gratuit,24/24 7/7 jours,,2021-03-03,https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d,"49.035994,2.12245",95572,Ile-de-France,Val-d'Oise
ABVV Volvo St Ouen l'Aumône,DRIVECO,ABVV Volvo St Ouen l'Aumône,FR*SSD*PABVVVOLVO95310*1,ABVV Volvo St Ouen l'Aumône,135 Rue de Paris 95310 Saint-Ouen-l'Aumône,95572,2.12245,49.035994,12,FR*SSD*E10703*P2,22.08,T2,Gratuit,24/24 7/7 jours,,2021-03-03,https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d,"49.035994,2.12245",95572,Ile-de-France,Val-d'Oise
Airria,Zephyre,Airria,FR*ZP1*EAC*57882,Airria 2 - 11 kW AC,7a chemin de la Dhuy 38240 Meylan,38229,45.213163,5.7963701,4,FR*ZP1*EAC*43253,11.0,T2,Payant,24/24 7/7 jours,,2021-04-12,https://www.data.gouv.fr/fr/datasets/airria-1/#resource-a7171c9f-eb3b-4b96-9709-993522810144,"5.7963701,45.213163",,,
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13213*007,MARSEILLE-13E - Rue Frédéric Joliot Curie,Rue Frédéric Joliot Curie 0 MARSEILLE-13E,13213,5.436152,43.342681,2,FR*M13*E13213*007*2,22.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.342681,5.436152",13055,,Bouches-du-Rhône
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13099*001,SAINT-PAUL-LEZ-DURANCE - D11,D11 13115 SAINT-PAUL-LEZ-DURANCE,13099,5.710252,43.686469,2,FR*M13*E13099*001*2,22.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.686469,5.710252",13099,,Bouches-du-Rhône
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13047*004,ISTRES - Parvis Hotel De Ville - Esplanade Bernadin Laugier,Parvis Hotel De Ville - Esplanade Bernadin Laugier 13800 ISTRES,13047,4.988923,43.516083,6,FR*M13*E13047*004*5,18.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.516083,4.988923",13047,,Bouches-du-Rhône
Aix-Marseille-Provence,BOUYGUES ENERGIES ET SERVICES,MAMP,FR*M13*P13054*003,MARIGNANE - Boulevard De La Libération,Boulevard De La Libération 0 MARIGNANE,13054,5.217351,43.418544,2,FR*M13*E13054*003*2,22.0,T2-EF,payant,24h/24 7j/7,Recharge par badge et avec une application smartphone,2021-09-04,https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-metropole-aix-marseille-provence/#resource-df922622-a1c3-4e27-abe0-2590e38ff545,"43.418544,5.217351",13054,,Bouches-du-Rhône
