id_station,n_station,ad_station,code_insee,xlongitude,ylatitude,puiss_max,accessibilite,type_prise,n_enseigne,date_maj
FR-S64-E64024-006,Parking Quintaou,"1 allée de Quintaou, Anglet",64024,-1.5127680638813583,43.48396450961844,18.0,,Type 2 et prise domestique,MOBIVE,2019-05-07
FR-S64-E64024-003,Parking des Dauphins,"Place des Docteurs Gentilhe, Anglet",64024,-1.5124430186266826,43.49989725773917,18.0,,Type 2 et prise domestique,MOBIVE,2019-05-07
FR-S64-E64024-001,Parking Izadia,"25 allée du Val Fleuri, Anglet",64024,-1.5155546844999312,43.48207100351876,18.0,,Type 2 et prise domestique,MOBIVE,2019-05-07
FR*SSD*PABVVVOLVO95310*1,ABVV Volvo St Ouen l'Aumône,135 Rue de Paris 95310 Saint-Ouen-l'Aumône,95572,2.12245,49.035994,7.36,24/24 7/7 jours,T2,ABVV Volvo St Ouen l'Aumône,2021-03-03
FR*SSD*PABVVVOLVO95310*1,ABVV Volvo St Ouen l'Aumône,135 Rue de Paris 95310 Saint-Ouen-l'Aumône,95572,2.12245,49.035994,22.08,24/24 7/7 jours,T2,ABVV Volvo St Ouen l'Aumône,2021-03-03
FR*ZP1*EAC*57882,Airria 2 - 11 kW AC,7a chemin de la Dhuy 38240 Meylan,38229,45.213163,5.7963701,11.0,24/24 7/7 jours,T2,Airria,2021-04-12
FR*M13*P13213*007,MARSEILLE-13E - Rue Frédéric Joliot Curie,Rue Frédéric Joliot Curie 0 MARSEILLE-13E,13213,5.436152,43.342681,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13099*001,SAINT-PAUL-LEZ-DURANCE - D11,D11 13115 SAINT-PAUL-LEZ-DURANCE,13099,5.710252,43.686469,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13047*004,ISTRES - Parvis Hotel De Ville - Esplanade Bernadin Laugier,Parvis Hotel De Ville - Esplanade Bernadin Laugier 13800 ISTRES,13047,4.988923,43.516083,18.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13054*003,MARIGNANE - Boulevard De La Libération,Boulevard De La Libération 0 MARIGNANE,13054,5.217351,43.418544,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13213*002,MARSEILLE-13E - 6 Chemin De Palama,6 Chemin De Palama 0 MARSEILLE-13E,13213,5.437851,43.352498,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13059*001,MEYRARGUES - Police Municipale - Place Des Anciens Combattants,Police Municipale - Place Des Anciens Combattants 13650 MEYRARGUES,13059,5.527233,43.637349,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13005*004,"AUBAGNE - 1465 Route Nationnale 8, Le Charrel","1465 Route Nationnale 8, Le Charrel 0 AUBAGNE",13005,5.545049,43.284336,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13208*001,MARSEILLE-8E - Boulevard Edouard Herriot,Boulevard Edouard Herriot 13008 MARSEILLE-8E,13208,5.390105,43.272778,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13103*001,SALON-DE-PROVENCE - Rue André Marie Ampère,Rue André Marie Ampère 0 SALON-DE-PROVENCE,13103,5.107927,43.639222,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13075*001,PLAN-DE-CUQUES - Rue Du 14 Juillet - Parking Piscine,Rue Du 14 Juillet - Parking Piscine 13380 PLAN-DE-CUQUES,13075,5.46472,43.347677,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13001*001,AIX-EN-PROVENCE - Rue Neil Armstrong,Rue Neil Armstrong 0 AIX-EN-PROVENCE,13001,5.347074,43.485668,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13203*002,MARSEILLE-3E - 28 Rue Jobin,28 Rue Jobin 0 MARSEILLE-3E,13203,5.389845,43.309831,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13022*002,CASSIS - Parking Daudet,Parking Daudet 13260 CASSIS,13022,5.536259,43.218608,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13112*001,VELAUX - Rue Diderot (Pl Du Bon Puit),Rue Diderot (Pl Du Bon Puit) 13880 VELAUX,13112,5.255214,43.523198,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13208*003,MARSEILLE-8E - Place Théo Lombard,Place Théo Lombard 13008 MARSEILLE-8E,13208,5.383026,43.27085,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13203*002,MARSEILLE-3E - 28 Rue Jobin,28 Rue Jobin 0 MARSEILLE-3E,13203,5.389845,43.309831,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13216*001,MARSEILLE-16E - Boulevard D'Annam,Boulevard D'Annam 0 MARSEILLE-16E,13216,5.329846,43.361274,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13202*002,MARSEILLE-2E - 29 Boulevard De Dunkerque,29 Boulevard De Dunkerque 0 MARSEILLE-2E,13202,5.367851,43.308184,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13209*002,MARSEILLE-9E - 83-81 Boulevard Du Redon,83-81 Boulevard Du Redon 0 MARSEILLE-9E,13209,5.421871,43.253283,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13055*006,"MARSEILLE - Parking De La Mairie, Bd Bouyala D'Arnaud","Parking De La Mairie, Bd Bouyala D'Arnaud 13000 MARSEILLE",13055,5.443135,43.297307,4.0,24h/24 7j/7,EF,MAMP,2021-09-04
FR*M13*P13109*001,LE THOLONET - 664 Avenue Paul Julien,664 Avenue Paul Julien 0 LE THOLONET,13109,5.487714,43.510783,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13047*011,ISTRES - Cec Piscine,Cec Piscine 13800 ISTRES,13047,4.995847,43.499057,18.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13069*001,PELISSANNE - Place Roux Brignoles,Place Roux Brignoles 13330 PELISSANNE,13069,5.152651,43.631195,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13117*002,VITROLLES - Quartier Du Lion,Quartier Du Lion 0 VITROLLES,13117,5.230562,43.454958,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13211*001,MARSEILLE-11E - 270 Route Des 3Lucs  La Valentine,270 Route Des 3Lucs La Valentine 0 MARSEILLE-11E,13211,5.481858,43.298393,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13207*005,MARSEILLE-7E - 7 Place Saint-Victor,7 Place Saint-Victor 0 MARSEILLE-7E,13207,5.366079,43.290685,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13047*012,ISTRES - Cec Stade,Cec Stade 13800 ISTRES,13047,4.992965,43.50076,18.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13071*001,LES PENNES-MIRABEAU - Vieille Route De La Gavotte (Eglise Des Cadeneaux),Vieille Route De La Gavotte (Eglise Des Cadeneaux) 13170 LES PENNES-MIRABEAU,13071,5.340986,43.393554,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13077*001,PORT-DE-BOUC - Rue De La République,Rue De La République 13110 PORT-DE-BOUC,13077,4.981837,43.404731,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
FR*M13*P13204*005,MARSEILLE-4E - Rue Du Bosquet,Rue Du Bosquet 13004 MARSEILLE-4E,13204,5.399566,43.300388,22.0,24h/24 7j/7,T2-EF,MAMP,2021-09-04
